relation	node1	node2	confidence
Class	アイスクリーム	乳類/牛乳及び乳製品	1.0
Flavor	アイスクリーム	乳製品	0.7
Flavor	あかうお	マリーン	1.0
Class	あかうお	魚介類/魚類	1.0
Class	あさり	魚介類/貝類	1.0
Taste	あさり	中間	0.5
Taste	あさり	うま味/グルタミン酸	1.0
Class	アスパラガス	野菜類	1.0
Flavor	アスパラガス	ベジタル/土	1.0
Taste	アスパラガス	うま味/グルタミン酸	1.0
Flavor	アナゴ	マリーン	1.0
Class	アナゴ	魚介類/魚類	1.0
Class	アボカド	果実類	1.0
Flavor	アボカド	ベジタル/フルーツ	1.0
Flavor	アユ	マリーン	1.0
Class	アユ	魚介類/魚類	1.0
Class	アロエ	野菜類	1.0
Class	アワビ	魚介類/貝類	1.0
Flavor	あんこう	マリーン	1.0
Class	あんこう	魚介類/魚類	1.0
Taste	あんこう	中間	0.5
Class	あんず	果実類	1.0
Taste	あんず	淡い	0.5
Flavor	あんず	フルーティ/木に実る果実	1.0
Class	イースト	調味料及び香辛料類/その他	1.0
Class	イカ	魚介類/いか・たこ類	1.0
Flavor	イカ	マリーン	1.0
Flavor	イカナゴ	マリーン	1.0
Class	イカナゴ	魚介類/魚類	1.0
Class	イチゴ	果実類	1.0
Flavor	イチゴ	フルーティ/ベリー	1.0
Flavor	イワシ	マリーン	1.0
Class	イワシ	魚介類/魚類	1.0
Taste	イワシ	うま味/イノシン酸	1.0
Taste	イワシ	うま味/グルタミン酸	1.0
Class	インゲン豆	豆類	1.0
Class	ウインナー	肉類/畜肉類	1.0
Class	ウスターソース	調味料及び香辛料類/調味料類	1.0
Class	ウド	野菜類	1.0
Class	うどん	穀類	1.0
Taste	うどん	淡い	0.5
Flavor	ウナギ	マリーン	1.0
Class	ウナギ	魚介類/魚類	1.0
Class	ウニ	魚介類/その他	1.0
Taste	ウニ	うま味/グルタミン酸	1.0
Class	うり	野菜類	1.0
Taste	うり	淡い	1.0
Taste	うり	草様・青臭	0.5
Class	えのき	きのこ類	1.0
Taste	えのき	淡い	0.5
Taste	えのき	うま味/グルタミン酸	1.0
Flavor	えのき	ベジタル/土	1.0
Class	エビ	魚介類/えび・かに類	1.0
Flavor	エビ	マリーン	1.0
Taste	エビ	うま味/グルタミン酸	0.7
Taste	エビ	うま味/イノシン酸	0.7
Class	エリンギ	きのこ類	1.0
Flavor	エリンギ	ベジタル/土	1.0
Class	えんどう豆	野菜類	1.0
Taste	えんどう豆	中間	0.5
Flavor	えんどう豆	ベジタル/グリーン	1.0
Class	オイスターソース	調味料及び香辛料類/調味料類	1.0
Taste	オイスターソース	うま味/グルタミン酸	1.0
Class	おから	豆類	1.0
Taste	おから	淡い	1.0
Class	オクラ	野菜類	1.0
Flavor	オクラ	ベジタル/グリーン	1.0
Class	オレガノ	野菜類	0.5
Class	ガーリック	野菜類	1.0
Class	カキ	魚介類/貝類	1.0
Flavor	カキ	マリーン	1.0
Taste	カキ	うま味/グルタミン酸	1.0
Taste	カキ	うま味/イノシン酸	1.0
Flavor	かじき	マリーン	1.0
Class	かじき	魚介類/魚類	1.0
Taste	かじき	中間	0.5
Class	カステラ	菓子類	1.0
Class	かつお節	魚介類/魚類	1.0
Taste	かつお節	うま味/イノシン酸	1.0
Taste	かつお節	うま味/グルタミン酸	1.0
Taste	かつお節	淡い	0.5
Class	かに	魚介類/えび・かに類	1.0
Taste	かに	中間	1.0
Flavor	かに	マリーン	1.0
Class	かぶ	野菜類	1.0
Taste	かぶ	淡い	1.0
Flavor	かぶ	刺激	1.0
Class	カボチャ	種実類	1.0
Flavor	カボチャ	ベジタル/フルーツ	1.0
Class	カラメル	砂糖及び甘味類	0.5
Flavor	カラメル	メイラード	1.0
Class	カリフラワー	野菜類	1.0
Flavor	カリフラワー	ベジタル/グリーン	1.0
Flavor	カレイ	マリーン	1.0
Class	カレイ	魚介類/魚類	1.0
Class	カレー粉	調味料及び香辛料類/香辛料類	1.0
Flavor	カレー粉	テルペン/スパイス	1.0
Class	かんぴょう	野菜類	1.0
Taste	かんぴょう	淡い	1.0
Class	キウイ	果実類	1.0
Flavor	キウイ	フルーティ/トロピカル	1.0
Class	きくらげ	きのこ類	1.0
Taste	きくらげ	淡い	1.0
Flavor	きくらげ	ベジタル/土	1.0
Flavor	きす	マリーン	1.0
Class	きす	魚介類/魚類	1.0
Taste	きす	淡い	1.0
Class	きな粉	豆類	1.0
Taste	きな粉	中間	0.5
Class	キムチ	野菜類	0.5
Taste	キムチ	うま味/グルタミン酸	1.0
Class	キャベツ	野菜類	1.0
Flavor	キャベツ	硫黄	1.0
Taste	キャベツ	うま味/グルタミン酸	1.0
Class	キュウリ	野菜類	1.0
Flavor	キュウリ	ベジタル/グリーン	1.0
Class	きんかん	果実類	1.0
Taste	きんかん	淡い	1.0
Flavor	きんかん	フルーティ/シトラス	1.0
Class	きんときまめ	豆類	1.0
Taste	きんときまめ	淡い	1.0
Flavor	きんめだい	マリーン	1.0
Class	きんめだい	魚介類/魚類	1.0
Taste	きんめだい	中間	1.0
Class	くうしんさい	野菜類	1.0
Taste	くうしんさい	淡い	1.0
Flavor	くうしんさい	ベジタル/グリーン	0.5
Class	クラゲ	魚介類/その他	1.0
Class	クリ	種実類	1.0
Class	クリームシチューの素	調味料及び香辛料類/その他	0.5
Class	グレープフルーツ	果実類	1.0
Flavor	グレープフルーツ	フルーティ/シトラス	1.0
Class	クレソン	野菜類	1.0
Class	くわい	野菜類	1.0
Class	ケチャップ	調味料及び香辛料類/調味料類	1.0
Flavor	コーヒー豆	メイラード/ロースト	1.0
Class	コーヒー豆	嗜好飲料類/コーヒー・ココア類	1.0
Class	ゴーヤ	野菜類	1.0
Class	ココア	嗜好飲料類/コーヒー・ココア類	1.0
Flavor	ココア	メイラード/チョコレート	1.0
Class	コショウ	調味料及び香辛料類/香辛料類	1.0
Flavor	コノシロ	マリーン	1.0
Class	コノシロ	魚介類/魚類	1.0
Class	ゴボウ	野菜類	1.0
Flavor	ゴボウ	ベジタル/土	0.7
Taste	ゴボウ	うま味/グルタミン酸	1.0
Class	ごま	種実類	1.0
Taste	ごま	中間	0.5
Flavor	ごま	メイラード/ナッツ	1.0
Class	こんにゃく	いも及びでん粉類/いも類	1.0
Taste	こんにゃく	中間	0.5
Flavor	こんにゃく	ベジタル/土	0.5
Class	サクランボ	果実類	1.0
Flavor	サクランボ	フルーティ/木に実る果実	1.0
Class	ザクロ	果実類	1.0
Flavor	ザクロ	フルーティ/ベリー	1.0
Flavor	サケ	マリーン	1.0
Class	サケ	魚介類/魚類	1.0
Class	サザエ	魚介類/貝類	1.0
Class	ささげ	豆類	1.0
Class	さつまいも	いも及びでん粉類/いも類	1.0
Taste	さつまいも	中間	1.0
Taste	さつまいも	うま味/グルタミン酸	1.0
Flavor	さつまいも	ベジタル/土	1.0
Flavor	サバ	マリーン	1.0
Class	サバ	魚介類/魚類	1.0
Taste	サバ	うま味/グルタミン酸	1.0
Taste	サバ	うま味/イノシン酸	1.0
Flavor	サメ	マリーン	1.0
Class	サメ	魚介類/魚類	1.0
Class	さやえんどう	野菜類	1.0
Taste	さやえんどう	淡い	1.0
Flavor	さやえんどう	ベジタル/グリーン	0.5
Class	サルサソース	調味料及び香辛料類/調味料類	0.5
Class	しじみ	魚介類/貝類	1.0
Taste	しじみ	淡い	0.5
Flavor	ししゃも	マリーン	1.0
Class	ししゃも	魚介類/魚類	1.0
Taste	ししゃも	中間	0.5
Class	シソ	野菜類	1.0
Class	シナモン	調味料及び香辛料類/香辛料類	1.0
Flavor	シナモン	テルペン/スパイス	1.0
Class	しめじ	きのこ類	1.0
Taste	しめじ	淡い	0.5
Taste	しめじ	うま味/グルタミン酸	1.0
Flavor	しめじ	ベジタル/土	1.0
Class	ジャガイモ	いも及びでん粉類/いも類	1.0
Flavor	ジャガイモ	ベジタル/土	1.0
Taste	ジャガイモ	うま味/グルタミン酸	1.0
Class	ジャム	果実類	1.0
Flavor	しらす	マリーン	1.0
Class	しらす	魚介類/魚類	1.0
Taste	しらす	中間	0.5
Taste	しらす	うま味/イノシン酸	1.0
Taste	しらす	うま味/グルタミン酸	1.0
Class	シリアル	穀類	0.5
Flavor	シリアル	穀物	1.0
Class	スイカ	果実類	1.0
Class	すし酢	調味料及び香辛料類/調味料類	1.0
Taste	すし酢	酸味	1.0
Taste	すし酢	淡い	1.0
Class	すだち	果実類	1.0
Taste	すだち	淡い	1.0
Taste	すだち	酸味	0.5
Flavor	すだち	フルーティ/シトラス	1.0
Class	ズッキーニ	野菜類	1.0
Flavor	ズッキーニ	ベジタル/グリーン	1.0
Class	スナップえんどう	野菜類	1.0
Class	スプラウト	野菜類	1.0
Class	ゼラチン	肉類/畜肉類	0.5
Class	せり	野菜類	1.0
Taste	せり	淡い	1.0
Flavor	せり	ベジタル/グリーン	0.5
Class	セロリ	野菜類	1.0
Flavor	セロリ	ベジタル/グリーン	1.0
Taste	セロリ	うま味/グルタミン酸	1.0
Class	ぜんまい	野菜類	1.0
Taste	ぜんまい	淡い	1.0
Flavor	ぜんまい	ベジタル/グリーン	0.5
Class	そうめん	穀類	1.0
Taste	そうめん	淡い	0.5
Class	そば	穀類	1.0
Taste	そば	淡い	0.5
Flavor	そば	ベジタル/土	1.0
Class	そら豆	野菜類	1.0
Taste	そら豆	淡い	1.0
Flavor	そら豆	ベジタル/グリーン	0.5
Taste	そら豆	うま味/グルタミン酸	1.0
Flavor	タイ	マリーン	1.0
Class	タイ	魚介類/魚類	1.0
Taste	タイ	うま味/イノシン酸	1.0
Taste	タイ	うま味/グルタミン酸	1.0
Class	タケノコ	野菜類	1.0
Flavor	タケノコ	ベジタル/土	0.5
Taste	タケノコ	うま味/グルタミン酸	1.0
Class	タコ	魚介類/いか・たこ類	1.0
Taste	タコ	うま味/グルタミン酸	1.0
Class	だし	調味料及び香辛料類/調味料類	1.0
Flavor	タチウオ	マリーン	1.0
Class	タチウオ	魚介類/魚類	1.0
Class	タレ	調味料及び香辛料類/調味料類	0.5
Class	チーズ	乳類/牛乳及び乳製品	1.0
Taste	チーズ	うま味/グルタミン酸	0.5
Class	チョコレート	菓子類	1.0
Class	ちらし寿司の素	調味料及び香辛料類/調味料類	0.5
Class	チンゲン菜	野菜類	1.0
Class	つぶ貝	魚介類/貝類	1.0
Taste	つぶ貝	中間	1.0
Class	ツルムラサキ	野菜類	1.0
Class	デコポン	果実類	1.0
Class	とうみょう	野菜類	1.0
Taste	とうみょう	淡い	1.0
Flavor	とうみょう	ベジタル/グリーン	0.5
Class	トウモロコシ	穀類	1.0
Flavor	トウモロコシ	ベジタル/フルーツ	1.0
Taste	トウモロコシ	うま味/グルタミン酸	1.0
Flavor	トビウオ	マリーン	1.0
Class	トビウオ	魚介類/魚類	1.0
Class	トマト	野菜類	1.0
Flavor	トマト	ベジタル/フルーツ	1.0
Taste	トマト	うま味/グルタミン酸	1.0
Class	トマトジュース	野菜類	1.0
Class	ナスビ	野菜類	1.0
